Data Center Name,Location,Cloud Service Provider,Energy Consumption (MWh),Carbon Intensity (kg CO₂e/MWh),Total Emissions (kg CO₂e),Renewable Energy Usage (%),PUE (Power Usage Effectiveness),Cooling System Type,Water Usage (liters),AI Workload (%),Notes
Data Center A,California,Google Cloud,500,300,150000,80,1.2,Air-Cooled,100000,25,High-efficiency systems; AI workload increasing.
Data Center B,Virginia,AWS,700,250,175000,60,1.4,Liquid-Cooled,120000,30,Uses hybrid cooling; AI applications expanding.
Data Center C,London,Azure,600,280,168000,70,1.3,Air-Cooled,110000,20,Powered by renewable sources; Moderate AI workload.
Data Center D,Sydney,Google Cloud,800,290,232000,85,1.1,Liquid-Cooled,90000,35,Minimal carbon footprint; High AI processing demand.
Data Center E,Mumbai,AWS,550,310,170500,50,1.5,Air-Cooled,130000,15,Energy-efficient design; AI integration in initial stages.
Data Center F,Dublin,Microsoft Azure,650,270,175500,75,1.2,Liquid-Cooled,95000,40,Investing in green energy solutions; heavy AI research load.
Data Center G,Singapore,Google Cloud,720,290,208800,65,1.3,Hybrid Cooling,105000,28,Sustainable architecture with AI-centric processing.
Data Center H,Berlin,AWS,480,240,115200,85,1.1,Air-Cooled,87000,20,Carbon-neutral design; moderate AI influence.
Data Center I,Tokyo,Azure,580,300,174000,55,1.4,Liquid-Cooled,118000,33,Exploring AI-powered efficiency mechanisms.
Data Center J,Toronto,AWS,630,280,176400,70,1.3,Hybrid Cooling,102000,27,AI workloads balanced with renewable energy consumption.
